id,ts,known_weight_lbs,signal,session
24,2026-02-13T17:25:54+00:00,0.0,5.776474950835109,session1_old
33,2026-02-13T18:36:51+00:00,0.0,5.957646295428276,session2_new
25,2026-02-13T17:34:57+00:00,25.0,6.0695442371070385,session1_old
34,2026-02-13T18:39:37+00:00,25.0,6.151722511276603,session2_new
26,2026-02-13T17:38:17+00:00,50.0,6.299647502601147,session1_old
35,2026-02-13T18:41:22+00:00,50.0,6.396264070644975,session2_new
29,2026-02-13T18:01:49.672879,75.0,6.488854,interpolated_stale
27,2026-02-13T17:42:46+00:00,100.0,6.678059231489897,session1_old
30,2026-02-13T18:30:33+00:00,100.0,6.7582507617771626,session2_new
31,2026-02-13T18:33:09+00:00,125.0,6.958270445466042,session2_new
28,2026-02-13T17:44:30+00:00,150.0,7.11583043448627,session1_old
32,2026-02-13T18:35:08+00:00,150.0,7.197360973805189,session2_new
